exclude,duration,date,subjectcode,a,b,c,d,e,f,g,h,gender,age,state,languages,english.primary,race1,race2,race3,race4,race5,race6,race7,race8,race9,race.text,religion1,religion2,religion3,religion4,religion5,religion6,religion7,religion8,religion9,religion10,religion11,religion12,religion13,religion.text,religiosity1,religiosity2,religiosity3,religiosity4,religiosity5,religiosity6,politics,income,education,comments 
,367,9/5/23 19:32,R_2CBBfLLahUN4clw,,,,,1,300000,One million dollars,"That he is unreasonable and very protective of his house, and would probably not agree to having his house painted no matter the potential benefits he may receive.",Nonbinary,30,45,"English, some Spanish",5,,,,,1,,1,,,,,1,,,,,,,,1,,,,,,1,,,,,15,2,1,Nothing I can think of.
,426,9/5/23 19:32,R_3nBeWYLS0KVmlso,1,200000,1 million dollars,reasonable guy,,,,,female,55,10,english,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,13,4,5,no
,184,9/5/23 19:33,R_1DVgiWlzIVeirp9,1,10000,1000000 dollars,Positive; he thinks his neighbor is a reasonable person,,,,,Male,31,39,English,5,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,15,11,6,N/A
,209,9/5/23 19:33,R_1gjd4zlpERdHpCi,,,,,1,500000,$1 million,He is unreasonable and protective of his house,female,40,37,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,7,5,
,427,9/5/23 19:34,R_3O6BmO9WhXZOAvy,1,500000,One million dollars,Hank sees his neighbor as an understanding and nice person.,,,,,male,23,5,English,5,,,1,,,,,,,,,,,,,,,,,,,,1,Spiritual,1,,,,,,14,1,4,This survey was straight forward and there were no issues. And the hypothetical was fun to think about.
,135,9/5/23 19:34,R_2Ynb40lIqWYERLR,,,,,6,,1 Million Dollars,That he is unreasonable and unlikable.,Male,49,16,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,12,5,4,
,314,9/5/23 19:35,R_3oHr4sW9H6P6hh7,,,,,1,100000,$1 million dollars,His opinion is his neighbor is unreasonable and very protective of his house.,Female,32,10,English,5,,,1,,,,,,,,,,,,,,,,,,,,1,Christian,,,1,,,,14,4,4,No it was confusing.It was pretty interested and a unique study pretty simple.
,193,9/5/23 19:35,R_1NeRD0re6yZauO0,,,,,5,,1 million dollars,unfavorable,female,59,36,english,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,12,1,2,
,110,9/5/23 19:35,R_2e4EqAcCZUf4Epi,,,,,5,,$1 million,"That his neighbor is unreasonable, highly defensive, and would refuse to have his house painted",Male,30,16,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,13,14,6,
,111,9/5/23 19:35,R_OBFc2ltbp8gLxfj,1,10000,One Million Dollars,Friendly and Understandable,,,,,Male,32,5,English,5,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,13,4,3,
,292,9/5/23 19:35,R_OMPkR8G0Rd0oPwl,5,,$1 million,Very reasonable person,,,,,Female,58,10,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,13,10,3,Nothing unclear
,220,9/5/23 19:36,R_3hovZ6SxgGlennc,1,500000,$1 million,He is very reasonable.,,,,,Male,47,39,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,12,14,6,No.
,550,9/5/23 19:36,R_1QF3QHVS4yCRN6E,,,,,5,,$1 million dollars,very unreasonable and very protective of his house,Female,54,33,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,13,9,5,no
,164,9/5/23 19:36,R_3EM62A9XBk5Oigb,1,500000,1 million,He is reasonable.,,,,,female,52,33,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,7,5,
,196,9/5/23 19:36,R_24kIYnBpSSuDUwv,,,,,5,,1 million dollars,That the is unreasonable.,Female,49,15,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,12,11,5,no
,172,9/5/23 19:37,R_3PNdnMgppLqVIr7,1,30000,1 million dollars ,He is reasonable ,,,,,Female ,36,23,English ,5,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,14,10,5,
,335,9/5/23 19:37,R_7QInzcJJbVNPivv,5,,1 million dollars ,He thinks his neighbor is very reasonable and would probably agree to have his house painted ,,,,,Female ,35,11,English ,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,13,3,3,Nothing was unclear. I based my opinion on what I thought was morally acceptable and safest to do.
,250,9/5/23 19:37,R_vcU634HBIyoXmhz,,,,,1,50000,"$1,000,000 ",That he is unreasonable,Female,25,45,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,14,6,3,
,182,9/5/23 19:37,R_1kIdbOYNvrYSU5R,,,,,6,,1 Million dollars ,unreasonable ,female,35,5,English ,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,13,5,2,
,158,9/5/23 19:38,R_2wuXyB3srUx9n6B,5,,$1 million,Neighbor is a reasonable person,,,,,Female,53,31,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,14,5,5,
,253,9/5/23 19:38,R_2zkJFbaHtA5oXcQ,5,,One million dollars,The neighbor is reasonable would likely agree to have his house painted if it meant Hank was better off for it.,,,,,Female,41,17,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,14,9,6,It wasn't unclear but I mostly kept thinking more about legal ramifications and fees on the off chance the neighbor didn't want the house blue. One million likely wouldn't cover the settlement if there was one.
,173,9/5/23 19:39,R_3nHQuYMS5yyOCDS,1,500000,$1 million,That he is very reasonable,,,,,Female,47,44,English,5,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,4,3,No
,270,9/5/23 19:39,R_3nkqk1hlGu8atxM,,,,,1,250000,1 million dollars,"The neighbor is unreasonable, protective of his house and would probably refuse.",Male,67,7,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,2,3,The study instructions were clear. No additional remarks to offer.
,217,9/5/23 19:39,R_3NRth0pfljhyEHI,,,,,1,50000,1 million dollars,He thinks his neighbor is very unreasonable and protective of his house.,Female,26,34,English,5,1,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,11,3,
,181,9/5/23 19:40,R_3D7uYKvnwfnwCZo,,,,,5,,$1 million dollars,The neighbor is an unreasonable and very protective of his own property.,Male,41,4,Englist,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,2,3,
,107,9/5/23 19:41,R_1I9NcpshDdvR7ed,1,100000,1 million dollars,he's very reasonable,,,,,female,26,45,english,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,4,3,nope. thanks!
,292,9/5/23 19:43,R_1PZRQkQFTQTYRZV,,,,,1,500000,1 million dollars in cash,"He is unreasonable and protective of his house, and would likely say no.",Male,53,39,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,13,9,5,Everything was clear and easily undestood...I would paint the house and split the money with my neighbor 50/50
,194,9/5/23 19:43,R_egGDW6BvuWEQKBP,,,,,5,,1 million dollars,that he is unreasonable and protective of his house. ,female,41,14,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,14,4,2,No everything was clear! Thank you for allowing me to participate. Good luck in your studies :) 
,125,9/5/23 19:44,R_1k02yS39ymgx3fA,1,15000,1 million,Reasonable,,,,,female,26,45,english,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,,,,,13,6,3,
,359,9/5/23 19:44,R_2CKFjr9N38UENLy,1,500000,"$1,000,000 ",He thinks that his neighbor is a very reasonable person.,,,,,male,53,23,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,6,3,Everything was quite clear and straightforward.
,203,9/5/23 19:44,R_bCbi1gB3iMDDoVr,,,,,1,100000,1 million dollars ,His neighbor is unreasonable ,Female ,41,36,English ,5,,,,,,,1,,,,,,,,,,,,,,,,1,Baptist ,,,1,,,,12,6,3,
,128,9/5/23 19:46,R_1oyW840wMNi2IGt,,,,,1,200000,1000000,That he is very unreasonable,Male,35,18,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,14,7,5,No.
,701,9/5/23 19:47,R_3QPZQ79VbfxtGK0,5,,$1 million,He feels the neighbor is reasonable,,,,,Female,52,22,English,5,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,15,7,5,No
,169,9/5/23 19:48,R_1i4C2jubqvn2Zfl,,,,,5,,$1 Million dollars,He thinks his neighbor is unreasonable and protective of his house,male,28,33,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,5,3,
,85,9/5/23 19:48,R_Uc4lk71xSWTvxIt,4,,$1 million,Very reasonable,,,,,Male,51,31,English,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,14,3,6,
,254,9/5/23 19:49,R_3ixVPWqWwVVPHA8,,,,,5,,One million dollars.,"That he's very protective of his home, unreasonable, and wouldn't agree to have his house painted, even if it were to benefit him.",Female,62,15,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,11,5,5,No issues. Thank you
,136,9/5/23 19:49,R_1PXgcvHXHfs4OOK,,,,,1,500000,1 million dollars,He is unreasonable,Female,25,10,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,13,4,6,no
1,117,9/5/23 19:49,R_3dLBrIKujBDSr3B,5,,ONE MILLION DOLLRS,HE LIKE HIM,,,,,FEMALE,48,32,ENGLISH,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,13,5,5,NO
,124,9/5/23 19:49,R_0legbemp5WuY4ZH,,,,,1,10000,A million dollars ,He is unreasonable ,Male,28,45,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,14,10,6,
,278,9/5/23 19:49,R_vTDG3FVj5rIhDyh,5,,$1 million,he's very reasonable,,,,,female,34,14,"english, polish",5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,6,5,"An additional piece of information I would want is if the painting of the house could be reversed. Would it have to stay blue forever (or for some time period) or could it be repainted soon after? Probably wouldn't change what the 'most moral' choice is, though it would affect my own willingness to do it."
,241,9/5/23 19:50,R_1CjAlPeRZpH9gAH,5,,$1 million ,A reasonable person ,,,,,Female ,52,14,English and Hindi ,5,,1,,,,,,,,,,,,,,,,,,,,,1,Spiritual not religious ,1,,,,,,14,12,5,
,219,9/5/23 19:50,R_1pljiGtgS4i1A6f,1,2000,One million dollars,He thinks highly of him and he is respectable,,,,,Male,35,5,English,5,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,12,12,3,Everything was clear and thank you!
,213,9/5/23 19:50,R_338z0g1yq00V1bf,,,,,1,848000,1 million dollars,He's very fussy about his house.,female,67,26,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,12,2,4,no
,513,9/5/23 19:51,R_1KkZwOxU3OnkSZb,1,450000,The stranger offers $1 million dollars to Hank if he agrees to paint his neighbor's house blue.,Hank's opinion of his neighbor is that his neighbor is a very reasonable person and would likely not get mad. ,,,,,Male,23,3,English and Spanish,5,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,14,4,4,No.
,126,9/5/23 19:51,R_1gHj4sLvbM2T1vK,1,2000,1 million,The neighbor is a very reasonable person,,,,,Female,39,5,English ,5,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,12,6,5,
,252,9/5/23 19:53,R_3m7wawLnINl80kR,4,,$1 million,That he is reasonable and agreeable,,,,,Male,45,5,1,5,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,15,6,6,
,150,9/5/23 19:53,R_2az7dWfbb4ILRWy,,,,,4,,one million dollars,Hank thinks his neighbor is unreasonable and protective.,male,27,4,English,5,,,,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,14,6,2,
,170,9/5/23 19:54,R_qWoNgzz3Nny4wcV,1,10000,1 million dollars,he's a reasonable person and would probably agree to do this if he knew he would be compensated,,,,,female,29,45,english,5,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,14,4,2,n/a
,466,9/5/23 19:54,R_2uEfdprrtvZAgQp,,,,,5,,$1 million ,That he is unreasonable ,Male ,42,4,English ,5,1,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,13,4,3,No not at all 
,993,9/5/23 19:55,R_3enrC4Cb1dSGqPE,,,,,5,,$1 million,He is a very unreasonable person.,male,58,2,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,14,11,4,"no, nothing"
,172,9/5/23 19:55,R_cHHix6AMbUEKUs9,,,,,5,,One million dollars,He's an unreasonable man and very protective of his house,Man,43,5,English,5,,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,13,1,5,No
,140,9/5/23 19:56,R_cBlLeGntfv9g1cB,1,25000,1 million dollars,He is very reasonable and would likely agree to have his house painted. ,,,,,Female,44,24,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,12,11,6,
,197,9/5/23 19:56,R_22zzTQbLDbGVIBU,,,,,5,,One million dollars.,That his neighbor is very unreasonable.,female,29,15,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,13,9,3,
,191,9/5/23 19:57,R_1lnIa2lm5crAXFh,1,100000,1 Million dollars,friendly amicable,,,,,Male,46,45,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,13,1,5,
,292,9/5/23 19:57,R_2ZDlEcznIoD40IT,5,,$1 million,Hank has a favorable opinion of his neighbor and thinks of them as reasonable.,,,,,Male,35,8,"English, Spanish ",5,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,14,11,6,
,245,9/5/23 19:58,R_1hQLKk4QS1J4mXe,,,,,5,,1 million dollars,very unreasonable ,male,48,5,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,13,6,4,no
,204,9/5/23 19:59,R_1ojstcioTny3v69,5,,$1 million,His neighbor is reasonable and would probably be ok with having the house painted.,,,,,Male,35,33,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,13,7,5,Everything was straightforward and I enjoyed participating in this study.
,159,9/5/23 19:59,R_2R81kmfaFMqD6sD,,,,,1,250000,$1 million,Thinks his neighbor is unreasonable and incredibly protective of his house,male,36,19,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,11,4,5,
,148,9/5/23 20:03,R_1MK8X4tuiPrDfqj,5,,$1 million,That he is reasonable,,,,,Female ,50,11,English ,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,12,6,No
,214,9/5/23 20:07,R_3O8k6yz1JGrq1Ja,,,,,1,440000,1 million dollars,He feels he is unreasonable and very protective of his house,female,58,39,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,12,5,3,no
,317,9/5/23 20:07,R_3JIxxYfn7VafdOE,5,,A million dollars.,Hank knows that his neighbor is reasonable enough to accept the outcome.,,,,,Male,68,6,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,9,5,Everything was clear.  Thanks for the study.
,759,9/5/23 20:08,R_2YxqfS71ZF2WlSt,,,,,1,500000,1 million,"Hank views his neighbor as being a very unreasonable and incredibly protective person when it comes to his house and property, and more than likely would refuse to the have the house painted, even if it left him in better position, than if it weren't painted. ",female,54,39,English,5,,,,,,,,1,,West Indian ,,1,,,,,,,,,,,,,,1,,,,,13,5,5,"No, everything in the study was clear. "
,145,9/5/23 20:08,R_1DS7t5VGo16XXns,,,,,1,500000,$1 million,a very unreasonable person and incredibly protective of his house,man,48,21,English,5,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,11,12,6,no
,306,9/5/23 20:09,R_dcid9PFZ6nLwb17,1,500000,1 million dollars,Reasonable person,,,,,male,47,48,English,5,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,14,8,3,All clear
,199,9/5/23 20:09,R_9GHkoPKaCSMMwIp,,,,,5,,One million dollars,He thinks his neighbor is unreasonable.,Female,56,39,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,12,12,5,Ho
1,148,9/5/23 20:09,R_3rU5e18HeXfyTxj,,,,,5,,One million dollars in cash.,The stranger is mysterious.,Female,47,37,English,5,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,14,5,4,
1,163,9/5/23 20:09,R_2DRWZ2w7xpMjS0G,6,,receive a sum of $1 million which," it was terrifying,",,,,,Male,42,10,English,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,15,6,5,good study
,228,9/5/23 20:09,R_qPB1qPHRQlEFkBz,5,,one million dollars,That he is a reasonable person.,,,,,Male,68,45,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,12,4,5,No
,254,9/5/23 20:10,R_PI3uHG7jWvR5AvD,1,50000,$1 million dollars,very reasonable person,,,,,female,35,51,english,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,15,5,4,
,169,9/5/23 20:11,R_9sNJGVp5wdI4yXL,1,50000,"1,000,000 dollars",he thinks he is a reasonable guy,,,,,male,57,14,"english, spanish",5,1,,,,1,,1,,,,,,,,,,,,,,1,,,,1,,,,,,14,8,6,no.
,184,9/5/23 20:11,R_2UWWu8IX93LZwgF,1,200000,"$1,000,000 ",That the neighbor is reasonable and would likely agree to have the house painted,,,,,female,37,22,English & Russian,5,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,14,12,6,
,173,9/5/23 20:12,R_2pXlwVpFaP4K8Dg,,,,,5,,$1 million dollars,He is unreasonable and protective of his house and would probably refuse to have his house painted.,Male,68,51,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,11,5,
,377,9/5/23 20:12,R_u49zsfu5qibwXK1,,,,,5,,1 million dollars,his neighbor is an unreasonable person,female,42,33,English,5,,,1,,,,,,,,,,,,,,,,,,,,1,Christian,,,1,,,,13,4,2,"I think the study was interesting, simple and quick. I actually wanted to read more scenarios and answer more questions"
,197,9/5/23 20:12,R_1lzwqlYLzgDpYag,,,,,5,,$1 million,that his neighbor is very unreasonable and protective of his house so the neighbor would refuse to have his house painted,female,31,5,English,5,,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,14,9,5,Nothing confusing or unclear
,196,9/5/23 20:12,R_12sg4Q8zTyMsYGo,1,100000,1 million dollars,His neighbor is a very reasonable person.,,,,,Female,40,36,Russian and English,5,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,15,7,4,Thank you for a fun study!
,160,9/5/23 20:12,R_2Ym4cBY38VYNWKZ,4,,$1 million,He is reasonable and understand it will help hank,,,,,Female,29,33,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,6,5,
,167,9/5/23 20:14,R_28OELNFTlwvca2u,,,,,1,1000,$1 million,He is very unreasonable,female,27,39,english,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,2,5,no
,272,9/5/23 20:16,R_svweHdhUNb18k25,1,300000,1 million dollars,That he is a reasonable person,,,,,Female,53,36,English,5,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,13,6,2,Nothing was confusing
,107,9/5/23 20:16,R_1JQ3RF7U3lgQreS,,,,,5,,1 million dollars,he thinks he is unreasonable and protective,male,31,15,english and spanish,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,12,12,5,
,256,9/5/23 20:17,R_Tu2J0tGLJlHMzrr,5,,$1 million dollars,That he is very reasonable,,,,,female,53,1,english,5,,,,,,,,1,,Eastern European,1,,,,,,,,,,,,,,,,1,,,,12,5,5,no
,195,9/5/23 20:17,R_1NzFfV6k7ZhVJ2E,,,,,1,500000,one million dollars,that he is unreasonable and incredibly protective of his house,female,36,5,english,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,11,5,nothing confusing or unclear
,130,9/5/23 20:19,R_24hJTTt08tFpeJv,1,5000,$1 million dollars,He is very reasonable,,,,,Male,24,34,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,12,9,5,No
,436,9/5/23 20:19,R_3nAEv8HzQhNxvxw,,,,,5,,one million dollars,a very unreasonable person,male,60,21,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,7,5,it was interesting the story reminds me of the church in santa fe NM he knocked on the door and offered the nuns to build a spiral staircase in the church with no tools then left ive been to that church too see it
1,321,9/5/23 20:19,R_2SkLVI5GJd7ti79,1,10000,A million dollars,to take the money or leave it,,,,,female,33,45,English,5,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,13,14,4,
,204,9/5/23 20:19,R_1ZEm8NWpACCoqbf,5,,1 million dollars,He is very reasonable. ,,,,,Female ,72,29,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,14,9,6,No
1,784,9/5/23 20:19,R_2UXIHyHYYmPf8iy,,,,,1,100000,doller,The good person and the  painting is probaly,Female,28,19,English,5,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,14,3,5,this survey going on very welll
,139,9/5/23 20:19,R_2s4Sol3rJRWvr3b,1,150000,1 MILLION DOLLARS,that he is a reasonable person,,,,,Male,42,23,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,13,2,3,no - thanks!
,191,9/5/23 20:20,R_RfUKRqwjsZCUG5z,,,,,5,,1 million dollars,unreasonable,female,46,36,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,13,3,2,None. Thank you
,373,9/5/23 20:20,R_tXlTIrFyHD83isF,1,15000,$1 million dollars in cash,Hank thinks that his neighbor is very reasonable and would agree to have it painted,,,,,Female,22,14,"English, Arabic",5,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,14,11,5,Nope. Huge fan of Cushman's work on moral psychology so was excited to participate!
,204,9/5/23 20:20,R_3fUhbJ7SzEEnit2,,,,,6,,1 million dollars,unreasonable and protective,Male,30,5,English,5,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,1,,,11,8,5,
,216,9/5/23 20:20,R_3F28dptuS0po40t,,,,,1,100000,1 million dollars,That he's unreasonable,Female,33,17,English ,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,13,6,5,No
,200,9/5/23 20:20,R_3qwxM7qBbmmhip9,4,,"1,000,000",That he’s a reasonable man,,,,,Male,59,14,English ,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,14,7,5,Interesting 
,159,9/5/23 20:23,R_24ekfhuA5OIc135,1,20000,1 million dollars,He thinks his neighbor is reasonable ,,,,,Female,47,13,English,5,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,12,9,4,No
,173,9/5/23 20:23,R_WrgV8EUGPlN57Xj,1,100000,One million dollars,That his neighbor is a very reasonable person ,,,,,Female,39,31,English ,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,13,11,3,
,210,9/5/23 20:23,R_3DiLkKZkel6A3iD,,,,,1,400000,1 million dollars ,His neighbor is unreasonable ,Female,38,39,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,12,5,
,150,9/5/23 20:23,R_1mwHT3kVBurUWq7,,,,,1,500000,1 million dollars,"Unreasonable person and protective of his house, refusing to have his house painted",Female,32,11,"English, Vietnamese",5,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,13,6,7,The story was clear to understand!
,92,9/5/23 20:24,R_OqmqLa55jqlxfFf,,,,,5,,1 million dollars,unreasonable and protective of his house,female,45,49,english,5,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,,14,10,3,
,214,9/5/23 20:24,R_28ZgljsxceGTJB2,,,,,5,,million dollars,he is unreasonable and protective of his house ,male,35,4,English ,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,13,5,4,no nothing. Thank you.
,262,9/5/23 20:24,R_2SwVH5T2TcDEUAr,,,,,5,,1 million dollars,he's unreasonable,female,62,50,english,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,11,10,3,
