duration,date,subjectcode,a1,a2,a3,a4,a5,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,d1,d2,d3,d4,d5,e1,e2,e3,e4,e5,f1,f2,f3,f4,f5,g1,g2,g3,g4,g5,h1,h2,h3,h4,h5,i1,i2,i3,i4,i5,j1,j2,j3,j4,j5,k1,k2,k3,k4,k5,l1,l2,l3,l4,l5,manager,industry,job.description,managed.workers,years.manager,comments1,comments2
456,5/27/21 13:27,R_1eW3kD3GeDB2eDg,15,14,15,15,2,12,14,13,14,3,14,12,13,15,5,15,15,12,15,5,15,15,14,13,5,14,14,15,15,1,12,12,12,15,5,12,15,15,15,2,15,15,13,15,3,15,14,14,15,5,15,15,12,15,5,15,14,15,15,2,2,not working,I only work on mturk,,,I did not know being employed was necessary.,
956,5/27/21 13:31,R_3afWvYvQdYQRfbP,14,14,15,14,2,12,12,13,13,2,12,12,15,15,5,13,12,13,15,5,15,15,13,15,5,15,14,15,15,1,15,15,14,15,5,14,13,15,15,3,13,12,14,15,3,14,13,13,15,5,15,15,12,15,5,15,15,15,15,2,1,Retail,To supervise the sales department and lead a group of people to form new ideas in sales. To keep up with spending and loss of sales.,6,2,no,
517,5/27/21 13:38,R_SIAAHS6C7wN6l21,12,14,15,15,3,11,13,13,13,3,14,15,15,15,5,12,14,14,15,5,14,15,15,14,4,14,15,15,15,1,14,15,15,15,5,12,14,15,15,3,11,12,14,15,2,14,15,14,15,5,15,15,14,15,5,13,15,15,15,3,2,homemaker,Taking care of kids and driving to school. Cooking and cleaning the house.,,,no,
874,5/27/21 13:39,R_277EAXoMsy74SMq,13,12,15,12,2,15,13,13,13,2,15,15,13,15,5,15,15,13,15,1,15,15,14,15,5,15,12,15,15,1,11,15,11,14,1,15,14,14,14,1,14,14,13,15,1,15,14,14,15,4,15,15,11,15,5,13,14,14,15,1,1,agriculture,I am a facilities manager. I am responsible for maintaining our main facility as well as satellite sites. ,5,4,no,no
699,5/27/21 13:42,R_3HiTXdI8AkbEz5G,12,12,15,14,3,14,14,14,14,3,15,14,15,15,5,12,13,12,15,5,15,15,15,14,5,14,12,15,13,1,15,15,13,15,5,14,13,15,15,4,14,12,14,15,2,15,14,13,15,5,15,14,12,15,5,15,15,13,15,5,2,health care support,"Liaison between doctors and medical personnel, entering health care data, and ordering medical tests",,,no,
415,5/27/21 13:44,R_2uwUozHcWK8A4su,12,15,15,15,5,14,15,13,14,3,14,14,14,15,5,15,15,11,15,5,12,14,15,14,4,15,15,14,15,1,14,15,12,15,5,14,15,15,15,2,12,14,14,15,4,15,15,12,15,5,15,15,11,15,5,12,15,14,15,3,2,manufacturing,Loading and unloading supplies from a truck. Assemble products before packing them.,,,no,
389,5/27/21 13:46,R_3hmR8mNiiyUB2eq,12,13,15,14,3,14,15,15,15,3,13,13,14,15,5,13,13,13,15,4,15,15,15,15,4,14,13,14,14,3,12,12,14,15,5,14,13,15,15,4,13,14,13,15,2,13,12,14,15,5,15,15,13,15,5,14,14,15,15,3,2,Technology,"I am a web developer, so I write web-based apps and work on databases. I also answer more generalized tech support questions from time to time.",,,Everything seemed clear to me.,
1443,5/27/21 14:09,R_1FtQcUoKhKusi0R,13,15,15,15,1,14,15,14,15,4,15,15,14,15,5,14,15,12,15,5,15,15,15,13,5,14,15,15,15,1,14,15,15,15,5,13,15,14,15,2,15,15,13,15,3,15,15,11,15,5,15,15,11,15,5,15,15,14,15,1,2,Transport and warehousing ,"Liaising and negotiating with suppliers
coordinating purchase orders  ",,,no,
1069,5/27/21 14:22,R_2rw1L8J4reIQFT0,13,13,15,15,3,12,13,13,14,2,12,13,15,15,5,14,14,14,15,3,15,15,15,15,4,13,12,15,14,1,15,15,14,15,5,12,14,15,15,4,12,14,14,15,3,12,13,13,15,5,11,15,11,15,5,15,15,15,15,2,1,real estate,I train and oversee a group of agents who report to me.,10,3,no,
499,5/27/21 14:25,R_2uONTQHrSoW1pdK,12,12,15,12,1,12,13,12,13,2,12,12,13,15,5,12,14,12,15,5,14,14,14,14,5,15,14,15,15,1,15,15,12,15,5,13,14,15,15,1,12,13,11,15,1,15,14,12,15,5,15,15,12,15,5,15,14,13,15,1,2,Parks and Recreation,I clean a park that is apart of a really big and popular lake.,,,It was clear to me,
351,5/27/21 14:26,R_1IjhxSm5osSt4cG,12,13,14,14,3,12,14,12,14,3,13,12,13,12,4,12,12,14,14,2,12,14,13,12,3,13,13,14,13,3,12,13,13,13,2,13,12,14,13,2,12,13,13,12,3,12,12,12,11,4,12,13,12,13,4,12,13,12,13,2,1,MANUFACTURING,I AM THE MANAGER,120,2,N/A,
490,5/27/21 14:34,R_vBUNsPmWC8YVG9z,12,14,15,13,2,12,13,14,13,3,14,14,15,15,5,13,14,14,15,4,14,15,15,15,5,14,15,15,15,1,11,14,13,14,5,13,14,15,14,2,11,13,15,15,1,13,14,14,15,5,15,15,13,15,5,14,15,15,15,3,2,freelance worker,"I do all sorts of things: fix computers, build websites, design logos and branding items, paint portraits, paint murals, design and set up physical security systems, give tattoos, open locked cars, houses, safes, etc.. (I grew up in the security industry, am an artist, and have worked in various tech related fields. Now I just do whatever and am never at a loss for work.)",,,no,
540,5/27/21 14:38,R_2b35W08qcvOGan9,12,12,15,15,3,13,14,13,14,4,14,13,14,15,5,12,14,13,15,5,14,14,15,12,3,12,12,11,11,5,11,14,13,15,5,12,14,15,15,3,11,13,15,15,4,14,15,13,15,5,11,15,11,15,5,14,15,15,15,2,1,tax prep,tax preparation and lead marketing ,1,1,no,
286,5/27/21 14:43,R_eFDmaIBq5PRmniV,12,13,15,15,3,12,14,15,13,2,13,15,14,15,5,12,14,14,15,5,15,15,15,14,5,12,11,14,13,3,12,14,13,15,5,12,15,15,15,2,13,15,14,15,3,12,14,14,15,5,15,15,13,15,5,13,13,15,15,2,2,Transportation,I am responsible for placing orders for rides and collecting daily fees from drivers.,,,No,
530,5/27/21 14:43,R_WBDxF2U1Bf84yM9,14,13,14,15,3,12,12,13,13,3,15,15,14,15,5,13,13,14,15,5,14,13,13,14,4,13,12,14,13,2,12,12,14,15,5,12,14,14,15,3,14,15,13,15,4,14,14,14,15,5,15,15,13,15,5,13,14,15,15,1,2,Self Employed (gig work),Online tasks. ,,,No,
602,5/27/21 14:59,R_1hQ0J7TAbas4OWG,13,14,14,15,3,12,12,15,13,3,12,14,15,15,5,13,13,13,15,4,14,15,15,15,5,14,13,11,15,5,12,14,14,15,5,12,14,13,15,5,11,12,15,15,1,15,14,13,15,4,15,15,11,15,5,13,13,14,14,5,2,Technology,Giving information about many topics.,,,No,
499,5/27/21 15:03,R_1d5Mfh8BD2c9yTn,12,12,15,15,4,15,15,13,15,3,15,15,14,15,5,15,15,12,15,3,15,14,15,13,5,15,15,15,13,1,13,12,14,15,5,14,13,15,15,5,15,15,13,15,4,15,13,12,15,5,15,15,11,15,5,15,15,15,15,1,1,Healthcare,I am the charge nurse for our surgical unit. I schedule surgeries and assure that the patients are ready with their H&P (history and physical) report as well as making sure the technicians have the surgical suite ready.,18,2,No,No
367,5/27/21 15:11,R_Utp2A5GTgSvmjtv,12,12,15,15,2,14,15,14,15,5,14,12,14,15,5,12,12,13,15,5,15,15,15,15,5,14,12,15,13,1,14,15,14,15,5,14,13,15,15,3,15,14,14,15,3,15,14,13,15,5,15,15,12,15,5,14,14,14,15,3,2,Social healthcare assistance,I facilitate medical reports between insurance companies and independent medical practioner reviewers.,,,No,"In the story about Mike the IT guy, there is a typo. It says ""Manger"" instead of ""Manager"""
847,5/27/21 15:11,R_2VgsYqDupevl4Xt,14,14,15,15,3,13,14,13,15,3,13,13,14,15,5,13,14,13,15,5,15,15,15,15,5,14,14,15,15,2,14,14,15,15,5,14,15,15,15,3,14,13,13,15,3,14,14,14,15,5,15,15,13,15,5,15,15,15,15,2,2,Transportation,"I am responsible for tracking and tracing shipments, tending to customer service duties and sorting out issues that arise with carriers.",,,none,none
458,5/27/21 15:27,R_phP30Y5lfhlkaXL,14,14,15,15,5,14,14,13,14,2,14,12,14,15,5,14,14,12,15,5,15,15,14,15,5,14,15,14,14,2,15,14,13,15,5,14,14,15,15,2,14,12,15,15,2,15,15,13,15,5,15,15,12,15,5,14,14,14,15,3,2,retail,I'm in charge of arranging and packing in the meat section of Walmart.,,,no,
1216,5/27/21 15:30,R_3oNHjrmGrmwpayU,13,14,15,15,2,15,14,14,11,3,12,12,15,15,5,15,15,13,15,5,15,15,15,15,5,15,14,15,13,1,15,15,14,15,5,14,14,15,15,2,14,13,15,15,3,15,15,12,15,4,15,15,11,15,5,15,15,15,15,2,1,healthcare.,I supervise the junior nurses and coordinate their operations.,5,2,no,no comment
314,5/27/21 15:31,R_RhowStHwThWopY5,12,12,15,14,3,14,14,13,14,2,13,14,13,15,5,12,14,13,15,5,15,15,13,15,5,15,12,15,14,1,15,14,14,15,5,12,13,15,14,2,12,12,12,15,2,15,14,14,15,5,15,15,13,15,5,14,14,15,15,2,1,Property Management,Managing residential rental income properties for other owners. ,1,4,no,
9022,5/27/21 15:58,R_2EfKSGUfqo1hCOR,14,13,15,14,5,14,14,14,15,5,14,14,13,15,5,14,14,14,15,5,14,14,14,15,5,14,14,14,15,4,14,14,14,15,5,14,14,14,15,4,14,12,15,15,5,14,14,14,15,5,15,15,14,15,5,14,14,15,15,5,2,home health,home health worker for elderly in their homes,,,n,
774,5/27/21 17:14,R_1op7uEEltkxF8su,11,13,12,13,1,12,14,14,14,3,13,12,14,12,3,11,13,12,12,4,12,11,12,11,3,12,11,12,12,1,14,12,12,13,4,12,11,13,12,4,14,11,12,12,4,11,14,12,14,3,11,13,14,12,4,12,14,12,14,4,1,Marketing Sales,I have fully organized and coordinated for my workers in these field.,20,3,No,
371,5/27/21 18:39,R_3qCGCoc7KXtPKTj,11,14,15,15,3,11,12,15,13,3,12,13,15,15,5,12,15,12,15,5,15,15,15,14,5,12,12,15,14,2,12,13,15,15,5,11,12,15,15,4,12,14,13,15,3,14,14,14,15,5,15,15,11,15,5,14,15,15,15,5,1,Transportation ,Manager company truck fleet ,5,2,No.,
308,5/27/21 18:52,R_2ah6iB23cr5rN0t,11,13,15,14,3,12,14,13,14,3,11,15,13,15,5,11,15,13,15,5,15,14,14,14,5,11,14,14,15,1,11,15,13,15,5,12,15,15,15,3,12,15,13,15,3,11,15,14,15,5,13,15,13,15,5,11,15,15,15,2,2,Education,"I am a teaching assistant on university undergraduate classes. I lead discussion sections, evaluate student work, and hold office hours for students.",,,No.,
423,5/27/21 18:56,R_yswr859d6OjrJzH,14,13,15,14,2,11,12,13,14,2,13,13,14,15,5,15,15,13,15,5,15,15,15,15,5,13,13,15,15,2,15,15,13,15,5,14,14,15,15,2,12,13,14,15,2,14,15,13,15,5,15,15,12,15,5,15,15,14,15,2,2,manufacturing,"Production manger responsible for meeting production quotas, quality of work, and supervision of employees.",,,no,
1004,5/27/21 19:08,R_2fJvjLbHRVUhPoI,11,12,15,15,3,12,13,14,14,3,12,14,15,15,5,14,15,13,15,4,15,15,14,15,5,15,15,15,15,1,11,15,13,15,5,14,15,13,15,1,14,15,14,15,3,15,15,14,15,5,15,15,12,15,5,14,15,15,15,1,1,Manufacturing,I'm a production manager at a modestly sized local factory.,11,4,Nope.  Everything was fine.,"My choices were based on the severity of the rule breach, and the context.  The cell phone rule..  I'm a little in the middle on.  I really can see the merits of both sides.  In a real world scenario, I could see some privacy issues that would make for a compelling case, rules support wise.  That being said, I've used my own phone, plenty of times, for  customer outreach.  I'm really in the middle on that one."
631,5/27/21 19:21,R_1ztJuZOAzMNeT97,11,12,15,14,3,14,14,13,13,3,11,12,14,15,5,14,14,14,15,4,15,15,12,14,4,15,15,14,14,2,11,14,14,15,4,12,15,14,15,3,11,14,12,15,1,15,14,14,15,5,15,15,11,15,5,14,15,11,12,5,2,Real Estate,"I process transactions during the escrow process. I review contracts for mistakes, schedule appointments, and meet deadlines in order to close the real estate transactions on the planned date. ",,,NO,Thank you
583,5/27/21 19:33,R_1jcD1nb5qRlWMJZ,13,15,15,15,3,13,13,13,13,3,13,12,14,15,3,13,13,13,15,3,15,15,15,15,5,13,13,14,15,3,13,13,14,15,4,13,13,15,15,3,13,13,15,15,3,15,15,13,15,5,15,15,11,15,3,13,15,15,15,3,2,Banking,I'm an accountant. I work with clients on a regular basis when it comes to their accounting needs.,,,No,
662,5/27/21 19:35,R_1IW9E2B6iAtxBtE,12,12,14,13,3,15,15,14,15,4,12,12,15,15,5,12,13,12,15,3,15,15,14,13,5,13,12,14,14,2,15,15,12,15,5,13,14,15,15,2,12,12,14,15,2,14,14,14,15,5,15,15,12,15,5,15,15,15,15,3,2,education,I plan and implement U.S. History lessons to high school juniors in accordance with state and district standards. ,,,no,
762,5/27/21 19:38,R_0doB6Gg5FmfUtUZ,12,13,15,15,3,13,13,11,14,2,13,13,15,15,5,12,13,12,15,5,15,15,15,15,5,14,14,15,15,1,13,13,14,15,5,12,13,15,15,1,15,15,15,15,5,14,14,12,15,5,15,15,11,15,5,13,13,15,15,1,2,manufacturing,Pack and prepare orders for shipment,,,No,
614,5/27/21 19:49,R_pz4Iqoib5gEIdTb,14,13,15,15,3,12,14,14,13,3,14,14,15,15,5,12,14,13,15,5,15,15,13,15,5,14,14,15,15,1,11,14,14,15,5,12,15,15,15,2,12,12,13,15,2,12,14,13,15,5,15,15,13,15,5,15,15,15,15,3,2,Disability and social services,"I work with individuals who have developmental and intellectual disabilities in residential settings. I provide basic care-giving and cooking, but also emotional support and life-skills counseling.",,,No,
484,5/27/21 20:03,R_3G8krzwXZaB69bs,12,12,15,13,2,12,13,13,13,3,14,14,14,15,4,15,15,14,15,4,12,13,15,12,5,15,14,15,15,1,15,13,14,15,5,15,15,15,15,3,14,13,14,15,3,15,15,14,15,4,15,15,14,15,5,15,14,14,15,2,2,Insurance/technology,Support of production systems. Travel reimbursement.,,,no,thanks
896,5/27/21 20:09,R_1N98pwMz1SuBpAN,13,14,15,15,3,12,13,14,15,4,13,13,15,15,5,12,13,14,15,5,14,14,15,13,5,14,13,15,15,2,12,12,14,15,5,12,13,15,15,4,12,12,15,15,5,14,13,14,15,5,15,14,12,15,5,14,14,15,15,3,2,finance,I buy and sell stocks during market hours,,,,
727,5/27/21 20:56,R_26eGPMW0HVtp8gI,12,12,14,14,2,14,15,13,15,4,14,13,14,15,5,12,14,13,15,5,15,15,13,15,5,15,15,14,15,1,14,14,13,15,5,13,13,14,15,3,11,12,14,15,2,14,12,14,15,4,15,15,12,15,5,15,15,14,15,1,2,Freelance writer,I do writing tasks for local business.,,,No.,
1375,5/27/21 21:07,R_3GcvX3ojZnKfW6E,12,12,15,14,3,13,12,14,13,2,14,14,15,15,5,13,14,13,15,5,14,14,15,14,5,13,12,15,14,1,14,14,14,15,5,14,14,15,15,3,15,14,15,15,3,15,14,14,15,5,15,15,13,15,5,14,14,15,15,2,2,Data entry,I perform data entry for small online projects.,,,"I thought all of the scenarios were clear, but it was difficult to choose at times whether a behavior was acceptable.",
2128,5/27/21 22:17,R_1mJX5FJWMl8jYDO,12,12,15,14,3,11,12,14,13,2,14,15,13,15,5,12,13,13,15,5,15,15,14,15,5,14,12,15,14,1,12,14,14,15,5,12,14,15,15,2,14,15,14,15,3,14,13,14,15,5,15,15,13,15,5,15,15,15,15,1,2,Manufacturing,Assembly line production and cataloging. ,,,Nothing at all,
324,5/28/21 1:18,R_3HtSLN5RNulvhTM,11,12,15,14,3,12,14,14,13,3,11,12,14,15,5,12,15,13,15,5,15,15,15,13,5,12,14,15,14,1,12,14,14,15,5,12,14,15,15,3,11,11,15,15,1,15,15,14,15,5,15,15,13,15,5,14,14,14,15,4,2,Healthcare,I take care of patients at the hospital,,,No,
1266,5/28/21 7:33,R_bpgEiVIePFkPXhv,11,12,15,12,2,15,15,13,12,2,13,12,14,15,5,15,15,12,15,5,15,15,13,14,5,14,11,14,13,1,15,15,14,15,5,14,14,14,15,1,15,15,12,15,2,15,14,12,15,5,15,15,11,15,5,15,15,14,15,2,2,Retail,I work as a Quality Control Analyst. I listen to recorded sales calls to make sure the salesperson stuck to the script and did not make any misleading or incorrect statements.,,,No,
