duration,date,subjectcode,rule.break,why,consequences,manager.response,you,company,other,agree,industry,job.description,manager,comments1,comments2
215,7/13/21 13:02,R_24kLmMokgzb32Dd,I would use the bathroom during wrap-up times when I worked at a call center.,"I didn't feel the break times were sufficient to use the bathroom. Also, I usually took notes while I was on the phone with the customer so I didn't have to worry about wrapping up afterward.","Nothing, I was never reprimanded for doing this.","My manager did not know, I still performed the highest in my group.",2,-1,-1,-2,customer service,"I worked at a student loan servicing company. I would be on the phone most of the day, and oftentimes we were too busy to get our break time.",0,no,
1013,7/13/21 13:10,R_1nPIfGKBu5bAS5s,There was a time i had a fight with one of our female staff for abusing me and sending negatives words to my family and sending abusive word to me and that led to a hitted fight which led to 2 week suspension at my place of work.,she insulted my and passed abusive words to my family ,i went on suspension for 2 weeks with the other person,The manager responded so bad and made us a deterrent to other staff and after the suspension preached love for both parties.,-2,-2,-2,-2,retail and sales .,The responsibilities were attending to customers and also distributing finished products to other outlets. the work was based on shifting and we are assign base on weekly shifts.,0,none,no
214,7/13/21 13:10,R_1OrZdrHaSOZE9UX,One time when I was younger I was working out of the back room of a department store. As we were pressed for time I would use climb up onto the shelves to scan and pull items that we needed rather than utilize a ladder.,I was pressed for time and thought I could get things done faster doing it that way.,"There were no consequences to my knowledge as I never did it when my superiors were around. I was smart enough to make sure it was just us before doing so, otherwise I did it the way the company preferred.","I never got a lecture or a warning doing it, my manager never caught me I suppose or if he knew he didn't care or at least he didn't tell me that he knew.",1,1,-1,-1,Retail,The job was basically pulling inventory off the shelves and loading it up and then sending it out onto the floor so that they could stock it. After that they'd send any extra inventory back and we'd put it back onto the shelves.,0,There was nothing confusing or unclear.,
138,7/13/21 13:11,R_1LYD11cMgNiUy4w,I took a day off that I wasn't supposed to.,I had an important appointment that I couldn't miss.,"No real major consequences, just a passive-aggressive response.",They were mildly irritated but got over it quickly.,2,-2,-2,-1,non-profit,I was responsible for office work.,0,No,Thanks!
154,7/13/21 13:14,R_31Gwhz4kP4byQcv,I did not call tech support when I said that I would.,I didn't want to deal with tech support and thought I could solve the issue on my own.,I solved the problem myself so there were no consequences.,My manager did not know. The problem was solved and that took care of any issues.,1,1,-1,-1,Executive Search,"I oversee a team of administrative professionals. I maintain our applicant tracking system and our website, along with overseeing the creation of digital brochures.",1,No,
246,7/13/21 13:22,R_2fHXbYxqUB00VRx,I called in with a dr appt but I actually went fishing,Just felt like getting out a few and sick time is automatic if under 3 days.,NONE,is not aware of what I really did,2,-2,-2,1,human resources at a hospital,I do reports and quality review HR actions on current employees,0,no,
93,7/13/21 13:23,R_2Pu5kM9rOszE5Kw,I broke a rule when I went to the bathroom after clocking in. I was suppose to go before per policy.,I was runing late. ,Nothing,They didn't find out!,1,-2,-1,-1,I was working in healthcare as a pharmacist.,I verify orders and check prescription medications. ,1,No,"It wasn't a big one, but I don't break many rules at work. This was against policy though."
497,7/13/21 13:25,R_VX3ldw4J9bDISOd,"On this particular occasion, I provided a customer a refund when company policy states that I am not supposed to be providing refunds under any circumstance.","It was all my fault. I was having a stressful day already and provided the customer with bad information unintentionally. However, because of my mistake, the customer purchased a product which they did not need. I knew it was my fault. They knew it was my fault. I could not deny them a refund when I knew it was the right thing to do.",I received a verbal warning over breaking company policy and the refund I issued was docked from my pay. ,My manager was definitely not happy. I was scolded for not paying attention and for breaking company refund policy. I was warned to never allow this situation to occur again.,-2,-2,1,-1,Retail sales,I worked retail sales for a technology manufacturer. I was a front-line employee working directly with customers.,0,"No, everything made sense.",
194,7/13/21 13:25,R_TbiKOqrwvCPMvlL,I don't always write up students when it's mandatory to do so.,Because sometimes the procedures that occur will cause them harm in a way that is not helpful or productive.,"Typically there haven't been because without writing them up, it's not known about on a higher level. ","They haven't responded, presumably because they aren't aware.",0,0,2,-1,Teacher working in a school,"The typical responsibilities of teachers, planning lessons, teaching lessons, working with kids and giving them feedback.",0,No.,
486,7/13/21 13:27,R_D2HKA1xDRseb2nf,"The only time I can think of is when I was younger working in a Seneca Juice plant as a press operator.  We had to clean the presses every day using acids and caustics.   We were required to wear PPE while we were handling the chemicals.  Since it was graveyard shift and it was exceptionally hot, I had a habit of not wearing the required equipment.",It was always around 80 or 90 degrees because of the steam lines running through the plant.  Wearing the safety equipment just made it worse so unless management of safety officers were running around.   I just went ahead without the rubber suit.,none.  It was really a generally accepted practice even though it went against stated company protocols.,He never said a word.   Either he wasn't really aware of it or he chose not to make an issue of it.,1,1,-1,0,Machine operator in a juice processing plant.,Run machines that pressed fruit to obtain juice for processing.,0,"nope, it seemed just fine to me.",
273,7/13/21 13:28,R_Zlv4mQ3DuZlHfR7,I came in late without letting anyone know that I would be late.,My dog was in status epilepticus. ,There were none.,She felt bad for me.  She was sympathetic.,-1,-2,2,0,university library,I was a circ desk supervisor.,1,no,
284,7/13/21 13:42,R_2tGs3XUmOt0iC7t,I decided not to complete an assignment that was given to me.,"I didn't do it because I had so much on my plate from my own work, and another department had asked me to complete something that was under no way part of my job responsibilities. They tasked me with the work because it had the slightest technical aspect to it and they were too lazy to learn the slightest bit of technical concept on their own. I just had way too much to complete and I decided I wasn't going to complete the other assignment, especially when there were others already working on it and it really wasn't necessary for me to add anything to it. ",There were no consequences.,They did not say anything.,1,0,0,2,Technology,"Fixing bugs, writing code and improving the product.",0,No,
176,7/13/21 13:46,R_3m3JRNbY60PBSNL,I worked overnight and took several unscheduled breaks when no one was around.,Nobody would know and my job didn't pay enough or respect me as an employee enough to make me care much about anything.,Nothing,Never knew,2,-2,-2,-2,Information,I organized medical documents into appropriate categories.,0,no,no
461,7/13/21 13:55,R_2YGkb5PxtrJ7nWB,"We have a policy that a person must clock in within five minutes of his scheduled shift start time. I was feeling lazy and purposefully didn't get ready for work in time, and I showed up to work thirty minutes after my scheduled shift start time.",I just didn't feel like rushing to get ready for work. I didn't feel like working at all that day.,"My manager gave me a dirty look and told me that she had to wait an extra thirty minutes past her scheduled end-of-shift before she could leave because she had to wait for me to pass off the shift to me because I was shift supervisor that evening. She said she really didn't appreciate my lateness, and that if it happened again she would tell the owner of the business we worked for.","As I explained above, she was angry at me and threatened to tell the owner of the business if it ever happened again.",2,-2,-2,-2,I worked at a business casual wine bar and eatery.,I was a shift supervisor. I had the responsibility of making sure all the food servers were doing their jobs properly by giving all our guests excellent service.,1,no,no
238,7/13/21 13:59,R_1ImV2z8mEYRICJA,I intentionally showed up for work thirty minutes past my scheduled shift start time.,I was feeling lazy. I didn't feel like rushing to get ready for work. I wanted to take my time getting ready for work. I honestly didn't feel like going to work at all that day.,I was reprimanded.,"My manager said that if I ever showed up to late work again, she would tell the owner of the restaurant and try to make sure I got in trouble.",2,-2,-2,-2,I was working at an upscale wine bar and eatery.,I was a shift supervisor. I was responsible for making sure all the servers on my shift were doing their jobs properly by giving all our guests excellent customer service.,1,no,no
203,7/13/21 14:10,R_1ouI6KjTXEaMEvc,I took an extra day off that I didn't have in my schedule or was allowed to take per the company rules.,I was on a vacation with my family and the travel schedule did not permit me to get home any earlier than the date I had inform them of. ,I was docked a day's pay. ,Although he completely understood he advised me to try to not do it again in the future. ,-2,-2,2,2,I was the marketing director for a manufacturing company. ,"Budget planning, personnel, development of sales materials, interaction with sales work with advertising companies plan the budget for the next five years. ",1,No it was not ,That's alright thank you 
342,7/13/21 14:12,R_2tlFOrigGcKXw91,One time I used my cellphone during work hours even though we were not allowed to do that. ,I did that because I kept getting ding repeatedly on my phone so that is why I checked it real quick just to make sure it wasn't an emergency at home or something. ,There were no consequences because I was not caught in the act. ,I was not caught in the act but if I were caught in the act I think my manager would understand the situation and not punish me. ,-1,-2,0,1,retail manufacturing,Picking customer's orders from different areas of the warehouse. If I'm not picking then I'm restocking products from recent shipments. ,0,no,
253,7/13/21 14:23,R_10IcDL2V0IMY0yF,The deadline was approaching and I knew I wouldn't have any time to finish it so I made the report without knowing all of the facts. I had an idea of how it would look but I didn't know exactly what the report would say.,Management didn't give me enough time to finish it,There weren't any consequences because the report was close enough,He understood that I didn't really have a choice.,0,2,0,2,accounting,I monitored spending budgets and prepared reports.,0,no,
381,7/13/21 14:27,R_2doMAtzehamIhew,My point of view The key to successfully answering this question is to prove why it was necessary. I would suggest the best type of example for this question is a clear customer service incident – A time where you have gone above and beyond to help and delight a customer – But had to break a rule in the process.,"I think Rule breaking is driven by personal attitude, the environment employees operate in, and external pressure, which cause employees to make decisions at the spur of the moment to either follow or break the rule. The same rule can be broken for different reasons at different times.","I think Be appreciative for the lesson. ""One time, I disagreed with my manager over the best way to help a customer.","My point of view, Build a strong culture. 
Recognise and reward your employees. 
Create an good office environment. 
Encourage a work:life balance.
Active, transparent and empathetic leadership.",-1,1,1,1,Finance,I think fully truth work.,1,None,None
249,7/13/21 14:28,R_32JwbNYqCf6Ip7X,I took a sick day in order to do a personal task.,I did so because I needed some extra time off work to take care of personal matters.,There were no consequences. ,My manager never found out about what I did. ,2,-1,1,0,business,I was responsible for various data analysis tasks. ,0,no,
228,7/13/21 15:01,R_1rqpASxmYdIhofS,I brought home a couple of sodas from the break room fridge.,"I was out of soda at home, and didn't want to go to the store halfway through the week.",I was told not to do that anymore. I didn't and avoided any more punishment.,"Disapprovingly, but she wasn't overly mad at me. ",2,-2,-2,-1,Legal services,Running documents to other firms and the courts. I also kept up with our physical files and helped attorneys with putting together physical materials for court.,0,No,
593,7/13/21 15:17,R_1rB0eD7J3EHmE0x,While making deliveries for a well known pizza franchise I would often stop at a fast food drive in on the way back from a run to usually get something mexican like tacos and eat in the car during the next run.,"Hungry and not wanting to eat what they had which were usually ""crew pies"" (burned or returned pizzas) for the workers.",Worse that would happen is a verbal reprimand but I never got caught.,He would not like it. He would probably tell me I could not be doing that but no real consequences i don't think. The longer I worked there the more comfortable I got breaking rules.,2,-1,2,0,Dominos Pizza delivery driver,Deliver multiple pizzas to homes during one trip on time if possible. The main responsibility was my safety when driving. The other was taking orders correctly as any error would cause a return. ,0,no,
119,7/13/21 15:56,R_2xXFbZ5AJwmwLy6,"I did personal tasks during my work hours, even though I knew it was something my employer frowned upon.",I didn't have any work to do and I was bored. I figured I would at least be productive for myself.,There weren't any. No one found out.,My manager had no response because he didn't know about it.,2,-2,-2,1,manufacturing,"I was an office assistant at a manufacturing facility, so I mostly printed and organized paperwork.",0,No,
161,7/13/21 16:28,R_3G9Q7v0MGI1RtZt,I took more than a 10 minute break because I wanted to finish my cigarette and I took an extra 5 minutes off.,I wanted to finish my cigaratte.,Nothing,She may have looked at me wondering why I was 5 minutes late.,-1,-2,-1,-1,I was working for a electronic component company.,I was a QA Inspector and assembler for a gold components company that built components for self-defense companies.,1,No,No
131,7/13/21 16:48,R_3Ed45RMz6o8ItTr,I have called out without the proper amount of time to inform work.,My best friend died.,They were accepting,THey werent happy but accepted it.,2,-2,2,1,Fast Food,I worked on a grill and was responsible for ensuring that food was on the line. I also cleaned.,0,,
193,7/13/21 16:58,R_1d0phoGJ6cz0O45,I took a longer break than I was supposed to ,I was feeling grumpy and a bit rebellious and didn't care about going back to work on time.,There were no consequences,They let it slide since I am hardly a rule breaker at work. ,1,-1,-1,0,Retail,"Unloading trucks, taking inventory, setting displays for new products",0,No,Thanks!!
257,7/13/21 16:58,R_etIsfC92QhSl4nT,"I have a pretty abnormal sleep schedule (DSPS) so I am super productive at night but need to sleep into the day.  Since I am working from home now and do not have a lot of meetings scheduled, I've turned off my alarm and just wake up when my body is ready.",To get really good sleep.,Sometimes it takes a while to respond to AM emails so people might be able to tell that I'm not working yet.,"He hasn't noticed, but if I discussed it with him I think he'd be OK with it.",2,1,-1,1,Information,I put together oil and gas data sets for clients.,0,No.,
156,7/13/21 17:03,R_3exBaz6espRIF61,I spent extra hours staying at work and completing a project. ,I was on a role and I didn't want to stop while I felt like I was going strong. ,I didn't get paid for the extra time. ,"He was happy that I was passionate about the project, but said that I should have done it during normal working hours. ",0,2,1,0,Web Development. ,Making websites for small businesses and other people. ,0,No. ,
253,7/13/21 17:19,R_eeys2oVIcrxsCNH,I started working before my shift started.  ,"Because I always arrived early, and didn't like just wasting time.",I got a good start on the days work.,I got talked to about it.,1,1,1,0,Insurance ,"Respond to agent inquiries about their bonuses, did data analysis, did quality control, etc.",0,No,
155,7/13/21 17:29,R_2fCbEgFDXiF7v64,I accepted a holiday gift from a customer.,Because I felt weird declining it.,No consequences it was never discovered by management,It was not known to my manager.,2,-2,-2,-2,pharmacy,quality assurance and regulatory affairs.  managing a small group of techs,1,no,no
110,7/13/21 17:38,R_eu0suZdongC6WQ1,I went to the bathroom even though I was not supposed to stop working.,I had to use the bathroom.,Nothing.,They never found out.,1,1,-1,-1,Retail,Organizing shipment boxes into other containers.,0,No,
374,7/13/21 18:07,R_p6G2j0GTIPUhE2Z,I once started shutting down the store before it was closing time. I did this because there were still many customers in the store and I wanted to go home on time. I started to count the registers and lock up the money in the safe thirty minutes before closing. I started shuttering the windows and turning off the extra lights and the store was pretty much closed with ten minutes to spare.,I did this because there were still many customers in the store and I wanted to go home on time. I had been yelled at in the past about keeping customers and employees in the store too late. I also wanted to please my new manager.,I didn't receive any immediate consequences. I found out a month later that they did an internal investigation on me. They decided that I was no longer to be a manager due to this violation and eventually they fired me.,They thought that it was okay at that time. I found later that my manager changed their opinion once our district manager told him that this was a major violation. My manager then started to yell at me for breaking company policy and they participated in firing me. ,-2,2,2,2,I was in that job two years ago. I was in the telecommunications industry.,I had to open and close the store. I had to onboard all of my subordinates and set their schedule and duties on a daily basis.,1,I didn't find anything to be confusing or unclear.,Thank you for an informative survey.
389,7/13/21 19:20,R_3fs2LhQTeZwib99,"I broke a rule one time in taking an extra break. It was extremely busy and I had been working many hours of overtime. I was staying late and I needed to get away from the stress for a few minutes, although I wasn't technically allowed to have the break, due to the hours I was working and had already had the 'scheduled' breaks.","I was very stressed and overwhelmed. I felt I needed some fresh air and a few moments to compose myself, as I felt on the verge of tears.",None,My manager actually had come outside to take a break themselves. They saw me and asked me if I needed to take a break. I answered that I did. They laughed and stated they could understand why I would need a break. ,2,-2,-2,2,manufacturing,"I was a PC Clerk and team leader. My role was to enter and verify data, create and manage reports, track orders and general leadership of the PC department for that area.",1,no,
413,7/13/21 20:02,R_2ZWXqSFB3v7MLVv,i went to late one day on purpose because i did not meet this guy who was there to fix the system,i just do not like the guy and i did not want to pretend that i like him,"nothing much my boss asked me why i was late and i told him i got stuck in the traffic, i am never late and very responsible so my boss did not question me.",He was fine because i am very punctual and responsible so he did not question me about it.,1,-2,-2,1,I was working in Finance and Insurance company where we help our clients assess the Profit and loss and also provide insurance for the businesses. ,"I am the Finance Manager, i handle all major accounts.",1,no,no
706,7/13/21 20:39,R_1guV4Lr48bPgiee,"I once had to get a job at work done quickly in an emergency. There were protocols in place for doing the procedure, but I had to leave the paperwork until later and get the job done fast. I went back and fixed the paperwork mess after the crisis was over.",There was an emergency; the product I was processing was needed as fast as possible.,I had to write up the incident in an incident report and I had to fill out all the paperwork that was supposed to be filled out when processing the product after I was done processing it.,"She was fine with it; rarely emergency situations come up and that's what the incident reports are for. If I hadn't kept up with the paperwork or done the procedure wrong or not filled out the incident report I would have been in trouble, though.",-2,-1,-1,2,Hospital laborartory,"I was working in the blood bank, crossmatching blood types and releasing blood products (cells, plasma, platelets)",0,no,
1577,7/13/21 22:20,R_1gtCoEeRxExsspM,I was told not to use a certain material when putting a product together. ,It seemed like it was going to be ideal for the particular project I was working on. ,Another person saw me and told on me. ,The manager spoke to me about it and felt that I did not respect their wishes. ,-2,0,0,-1,Art/Design - Designer/Client Services,"It was an art/design job. Working with clients, designing the products, working on finished products for the clients. ",0,No.,No comments. 
1543,7/13/21 22:58,R_2CfHbAKvDIWiAC2,I once picked up a child in order to move them. We are not supposed to touch children.,I did it because it was the easiest way to accomplish getting the child to where I needed them.,There were no consequences.,They did nothing to me. ,1,0,-2,-1,Education,I am to ensure the children have safe and educational experience. ,0,n/a,
227,7/14/21 2:35,R_O9y8RGR34L3Qpod,"Since my job consisted of working with food, sometimes if a manager or someone equivalent wasn't watching I would play with the food. ","During non-busy hours, I got really bored and felt like there was nothing for me to do. To me, being idle is worse than being busy. ","I was not caught, so there were no consequences. ","If I were caught, my manager would likely get mad and scold me to not do it again, but it would likely only serve as a warning. ",1,-1,-2,-2,Food,"I work at a semi-self-serve food bar. When people needed a food item that was not self-serve, they would ask for it and I would handle the food. ",0,N/A,N/A
404,7/14/21 5:31,R_3Rt43gbawQiS4NQ,"I gave a free value meal to a homeless woman and her little boy using my own daily free meal, and paying for the rest from my pocket.","They where hungry, and having a hard time and I felt sorry for them. I wanted to help in even a small way.","Nothing really, other than I was short my employee meal and a few bucks from my own pocket.","He smiled and told me I have a good heart. You could also say he ""looked the other way"" because he could have wrote me up, but he didn't.",-2,-1,2,1,fast food,"Typical normal McDonald's team leader. (Not manager, one step lower)",1,no,nothing I can really think of.
431,7/14/21 13:38,R_3eqxy6yIpziL2UY,"I was working as an events coordinator at the non-profit's annual conference. The new Ex Dir. thought that the bookstore should be run one way and from personal experience, I knew it would not work. I did not have it run the way she wanted. Everything worked out, but when we got back to the office we had a big fight and I ended up quitting.",I knew her way would not be good for the organization.,A fight and I quit,She reamed me out in front of the other staff.,-2,0,2,-2,non-profit entertainment,Plan and execute the annual conference for members of the organization,1,no,"Yes, the supervisor lasted a few months after I quit. The organization decided to ""wish her well in her new endeavors"" and parted ways with her"
